,accident_id,accident_year,outcome,num_parties,party1_type,party2_type,accident_nature,road_situation,built_up_area,speed_limit_kmh,street_lighting,road_surface,road_condition,light_condition,weather_condition,street_name,municipality,shape,geometry,longitude,latitude
255386,20210086858,2021,Letsel,2,personenauto,fiets,Flank,Rotonde,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Werengouw,amsterdam,POINT (125149.96840000153 489646.94420000166),POINT (4.948669149685341 52.39385641517225),4.948669149685341,52.39385641517225
255450,20210065484,2021,Uitsluitend materiele schade,1,bromfiets,unknown,Flank,Rechte weg,Binnen,30.0,Brandend,Overig asfalt,Droog,Duisternis,Unknown,Abcouderstraatweg,amsterdam,POINT (126104.26300000027 477466.4690000005),POINT (4.963733895010678 52.28443641322352),4.963733895010678,52.28443641322352
255625,20210093231,2021,Uitsluitend materiele schade,1,bromfiets,unknown,Onbekend,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Louis Couperusstraat,amsterdam,POINT (116743.62900000066 487714.9050000012),POINT (4.825394368082158 52.3759712029606),4.825394368082158,52.3759712029606
255843,20210091228,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Weteringlaan,amsterdam,POINT (121185.9849999994 485686.30999999866),POINT (4.890833651413056 52.358031160813745),4.890833651413056,52.358031160813745
256014,20210077147,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,Unknown,Brandend,Overig asfalt,Droog,Duisternis,Droog,Efua Sutherlandstraat,amsterdam,POINT (126389.82829999924 481594.89649999887),POINT (4.967568641980786 52.32155552991174),4.967568641980786,52.32155552991174
256209,20220080721,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Flank,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Unknown,Transformatorweg,amsterdam,POINT (119188.89999999851 489551.5549999997),POINT (4.861106829476446 52.39264253314306),4.861106829476446,52.39264253314306
256249,20220016813,2022,Letsel,3,personenauto,fiets,Los voorwerp,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Zeeburgerdijk,amsterdam,POINT (124402.79210000113 486565.75290000066),POINT (4.937973082858209 52.36612360208301),4.937973082858209,52.36612360208301
256335,20220054198,2022,Letsel,2,fiets,fiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Nassaukade,amsterdam,POINT (120359.73600000143 486506.3969999999),POINT (4.878620762389127 52.36535004751166),4.878620762389127,52.36535004751166
256415,20220055663,2022,Uitsluitend materiele schade,2,personenauto,snorfiets,Onbekend,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Baden Powellweg,amsterdam,POINT (114840.02789999917 484599.5976999998),POINT (4.797812663312513 52.34783739325024),4.797812663312513,52.34783739325024
256423,20220081327,2022,Uitsluitend materiele schade,2,fiets,voetganger,Voetganger,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,LELIESLUIS 061,amsterdam,POINT (120773.82899999991 487685.6369000003),POINT (4.884580120784862 52.37597417265916),4.884580120784862,52.37597417265916
256448,20220055736,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Beton,Droog,Duisternis,Droog,Marnixstraat,amsterdam,POINT (120318.07899999991 486880.1160000004),POINT (4.877970631111093 52.36870613765962),4.877970631111093,52.36870613765962
256800,20230024650,2023,Dodelijk,2,fiets,bus,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Churchill-laan,amsterdam,POINT (121196.43789999932 484453.67980000004),POINT (4.891110929622674 52.34695375551382),4.891110929622674,52.34695375551382
256928,20230004199,2023,Letsel,2,fiets,voetganger,Voetganger,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Wijttenbachstraat,amsterdam,POINT (123768.34809999913 485973.1286999993),POINT (4.928713436807703 52.36076177492051),4.928713436807703,52.36076177492051
256947,20230004028,2023,Letsel,2,unknown,bromfiets,Eenzijdig,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Klaprozenweg,amsterdam,POINT (121878.51799999923 490515.6790000014),POINT (4.90052320799627 52.401476271137746),4.90052320799627,52.401476271137746
257567,20210068255,2021,Letsel,2,bromfiets,brommobiel,Kop/staart,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Hoofddorpweg,amsterdam,POINT (118485.02600000054 484924.81799999997),POINT (4.8512693559788085 52.3510145371062),4.8512693559788085,52.3510145371062
257583,20210019537,2021,Letsel,2,personenauto,fiets,Frontaal,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Vijzelstraat,amsterdam,POINT (121263.84299999848 486197.81599999964),POINT (4.891925213016765 52.36263301153487),4.891925213016765,52.36263301153487
257624,20220177978,2022,Letsel,2,trein/tram,fiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet aanwezig,Beton,Droog,Daglicht,Droog,Sarphatistraat,amsterdam,POINT (123331.09800000116 486505.1490000002),POINT (4.922244561213799 52.36551818921207),4.922244561213799,52.36551818921207
257658,20220176035,2022,Uitsluitend materiele schade,2,bromfiets,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,Unknown,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Muntbergweg,amsterdam,POINT (124816.58669999987 479432.5863999985),POINT (4.944687557916113 52.30203777900031),4.944687557916113,52.30203777900031
257661,20220177094,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,Unknown,Apollolaan,amsterdam,POINT (119584.09899999946 484866.811999999),POINT (4.8674060482874655 52.35056515834756),4.8674060482874655,52.35056515834756
257662,20220177395,2022,Uitsluitend materiele schade,2,personenauto,fiets,Frontaal,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Beethovenstraat,amsterdam,POINT (120239.80700000003 484063.875),POINT (4.877112417423186 52.34339077776129),4.877112417423186,52.34339077776129
257663,20220177402,2022,Uitsluitend materiele schade,2,fiets,fiets,Frontaal,Rechte weg,Binnen,30.0,Brandend,Klinkers,Droog,Duisternis,Droog,Kloveniersburgwal,amsterdam,POINT (121549.05000000075 486848.0399999991),POINT (4.896047487115438 52.36849421667335),4.896047487115438,52.36849421667335
257675,20220123213,2022,Uitsluitend materiele schade,2,bromfiets,bestelauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet aanwezig,Overig asfalt,Droog,Daglicht,Droog,Ruyschstraat,amsterdam,POINT (122515.16200000048 485618.28500000015),POINT (4.910351126411883 52.35749999957362),4.910351126411883,52.35749999957362
257738,20220142194,2022,Uitsluitend materiele schade,2,snorfiets,personenauto,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Pieter Calandlaan,amsterdam,POINT (115655.05359999835 485266.40309999883),POINT (4.809695497237712 52.353889087456174),4.809695497237712,52.353889087456174
257867,20220142487,2022,Uitsluitend materiele schade,2,fiets,fiets,Flank,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Ringdijk,amsterdam,POINT (122952.64900000021 484775.46499999985),POINT (4.91685318134336 52.349950974424914),4.91685318134336,52.349950974424914
257878,20220155219,2022,Uitsluitend materiele schade,2,bestelauto,bromfiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,Droog,Geraniumweg,amsterdam,POINT (122348.0309999995 489150.94299999997),POINT (4.907554651622286 52.38923916865257),4.907554651622286,52.38923916865257
257995,20220124064,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Amstelveenseweg,amsterdam,POINT (118904.997299999 482345.8847000003),POINT (4.8577095588882635 52.32786461141353),4.8577095588882635,52.32786461141353
258003,20220141493,2022,Uitsluitend materiele schade,2,snorfiets,snorfiets,Frontaal,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Mercatorstraat,amsterdam,POINT (118336.86199999973 487572.2250000015),POINT (4.848806180385234 52.37479760077721),4.848806180385234,52.37479760077721
258035,20220141582,2022,Letsel,2,fiets,fiets,Frontaal,"Kruispunt, 4 takken",Binnen,30.0,Niet aanwezig,Klinkers,Droog,Daglicht,Droog,Amsteldijk,amsterdam,POINT (122513.19280000031 484618.17650000006),POINT (4.9104187881526125 52.3485115627123),4.9104187881526125,52.3485115627123
258126,20220124229,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Frontaal,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Vespuccistraat,amsterdam,POINT (118705.25400000066 486962.375),POINT (4.854281645728655 52.36934120179816),4.854281645728655,52.36934120179816
