,accident_id,accident_year,outcome,num_parties,party1_type,party2_type,accident_nature,road_situation,built_up_area,speed_limit_kmh,street_lighting,road_surface,road_condition,light_condition,weather_condition,street_name,municipality,shape,geometry,longitude,latitude
78682,20220123463,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Stadhouderskade,amsterdam,POINT (121069.2901000008 485741.8156000003),POINT (4.889115098978945 52.35852281204646),4.889115098978945,52.35852281204646
78729,20220142348,2022,Uitsluitend materiele schade,2,bromfiets,bestelauto,Kop/staart,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Herengracht,amsterdam,POINT (120938.49399999902 486965.8359999992),POINT (4.887071146009482 52.369515356796164),4.887071146009482,52.369515356796164
78763,20220142413,2022,Uitsluitend materiele schade,3,personenauto,fiets,Onbekend,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Meeuwenlaan,amsterdam,POINT (123472.12440000102 489007.4360000007),POINT (4.924080264583454 52.388015147691924),4.924080264583454,52.388015147691924
78892,20220155453,2022,Letsel,2,motor,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Amstelveenseweg,amsterdam,POINT (118927.88720000163 484489.4283000007),POINT (4.857815689528913 52.34713081361449),4.857815689528913,52.34713081361449
78912,20220141447,2022,Uitsluitend materiele schade,2,snorfiets,fiets,Frontaal,Rechte weg,Binnen,30.0,Brandend,ZOAB,Droog,Duisternis,Droog,Marnixstraat,amsterdam,POINT (120316.61699999869 486883.66000000015),POINT (4.877948799779006 52.36873789625751),4.877948799779006,52.36873789625751
78942,20220141517,2022,Uitsluitend materiele schade,2,snorfiets,personenauto,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Amsteldijk,amsterdam,POINT (122130.78979999945 485531.6279999986),POINT (4.904717488153162 52.35669832240536),4.904717488153162,52.35669832240536
78988,20220155672,2022,Letsel,2,bromfiets,fiets,Flank,Rotonde,Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,WETERINGCIRCUIT,amsterdam,POINT (121175.95160000026 485789.5650999993),POINT (4.890675988625128 52.358958529181336),4.890675988625128,52.358958529181336
79134,20230049626,2023,Letsel,2,personenauto,fiets,Geparkeerd voertuig,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Olympiaweg,amsterdam,POINT (119260.68899999931 484669.97399999946),POINT (4.862680464433629 52.34877517673395),4.862680464433629,52.34877517673395
79193,20230039798,2023,Uitsluitend materiele schade,3,snorfiets,personenauto,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Stadionweg,amsterdam,POINT (119119.7100000009 484310.30700000003),POINT (4.860649831860677 52.34553355432975),4.860649831860677,52.34553355432975
79206,20230058307,2023,Letsel,2,personenauto,fiets,Onbekend,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Descartesstraat,amsterdam,POINT (115746 487693),POINT (4.810747051705013 52.37570392232027),4.810747051705013,52.37570392232027
79250,20230059725,2023,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,Regen,Nieuwpoortstraat,amsterdam,POINT (119010.4354000017 488602.50879999995),POINT (4.858586836064826 52.3841015692802),4.858586836064826,52.3841015692802
79262,20230058978,2023,Letsel,2,fiets,fiets,Flank,Rechte weg,Binnen,30.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Ranonkelkade,amsterdam,POINT (122332.68899999931 488910.13599999994),POINT (4.90735271226646 52.38707405631829),4.90735271226646,52.38707405631829
79267,20230037633,2023,Uitsluitend materiele schade,2,bromfiets,personenauto,Flank,Rechte weg,Binnen,60.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Kanaaldijk,amsterdam,POINT (130112.03299999982 478336.2109999992),POINT (5.022402843327451 52.29244901881606),5.022402843327451,52.29244901881606
79301,20230050479,2023,Uitsluitend materiele schade,1,bromfiets,unknown,Voetganger,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Tussen Meer,amsterdam,POINT (115080.60700000077 485782.2870000005),POINT (4.801202914445308 52.35848400699456),4.801202914445308,52.35848400699456
79314,20230059849,2023,Uitsluitend materiele schade,2,personenauto,bromfiets,Geparkeerd voertuig,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Burgemeester Fockstraat,amsterdam,POINT (117329.62299999967 488565.8370000012),POINT (4.833904124479462 52.38365922300584),4.833904124479462,52.38365922300584
79349,20230048841,2023,Letsel,2,personenauto,bromfiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,L. van Sonsbeeckstraat,amsterdam,POINT (115083.8209999986 485895.5859999992),POINT (4.8012366457868145 52.35950248192743),4.8012366457868145,52.35950248192743
79375,20230040124,2023,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Willem Schermerhornstr,amsterdam,POINT (115234.17500000075 488440.76630000025),POINT (4.8031426091044676 52.38238739634391),4.8031426091044676,52.38238739634391
79418,20220212239,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Flank,Rechte weg,Binnen,50.0,Brandend,Klinkers,Nat,Schemer,Droog,Spaklerweg,amsterdam,POINT (123051.16699999943 484039.131000001),POINT (4.9183689563742785 52.34333900861394),4.9183689563742785,52.34333900861394
79552,20220212413,2022,Letsel,2,e-bike,e-bike,Flank,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Kamperfoelieweg,amsterdam,POINT (122631.63300000131 490241.76300000027),POINT (4.911615393891802 52.39905946178154),4.911615393891802,52.39905946178154
79634,20220211107,2022,Uitsluitend materiele schade,2,snorfiets,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Klinkers,Droog,Duisternis,Droog,Singel,amsterdam,POINT (121456.6708999984 488087.375),POINT (4.8945674482894255 52.37962684555959),4.8945674482894255,52.37962684555959
79636,20220212514,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Mercatorplein,amsterdam,POINT (118438.04300000146 487044.93299999833),POINT (4.850349320702791 52.37006544634099),4.850349320702791,52.37006544634099
79749,20220211282,2022,Uitsluitend materiele schade,2,personenauto,fiets,Frontaal,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Van Ostadestraat,amsterdam,POINT (121219.03620000184 485026.7718000002),POINT (4.891385034554775 52.35210571260438),4.891385034554775,52.35210571260438
79783,20220210639,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,Rechte weg,Binnen,50.0,Brandend,Klinkers,Nat,Duisternis,Regen,Dam,amsterdam,POINT (121358.12900000066 487337.31599999964),POINT (4.893195345523698 52.37287982261844),4.893195345523698,52.37287982261844
79785,20220212000,2022,Uitsluitend materiele schade,2,fiets,fiets,Frontaal,Rechte weg,Binnen,30.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Roelof Hartplein,amsterdam,POINT (120573.92379999906 485157.3343000002),POINT (4.8819034046566605 52.353239079175886),4.8819034046566605,52.353239079175886
79834,20220212063,2022,Uitsluitend materiele schade,2,personenauto,fiets,Onbekend,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Daglicht,Unknown,Alfred Döblinstraat,amsterdam,POINT (124912.09650000185 481476.3431000002),POINT (4.945905413001445 52.32041118208587),4.945905413001445,52.32041118208587
79872,20220211430,2022,Letsel,2,bromfiets,personenauto,Flank,Rechte weg,Buiten,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Sloterweg,amsterdam,POINT (116474.31300000101 483949.4679999985),POINT (4.821870859900671 52.342111518445336),4.821870859900671,52.342111518445336
79930,20220211503,2022,Letsel,3,personenauto,snorfiets,Frontaal,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Leliegracht,amsterdam,POINT (120889.07840000093 487619.5152999982),POINT (4.886279251165725 52.375387091193815),4.886279251165725,52.375387091193815
80263,20230111131,2023,Letsel,2,personenauto,fiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Droog,Prins Hendrikkade,amsterdam,POINT (122533.49700000137 487233.999499999),POINT (4.910464255990267 52.372022033464596),4.910464255990267,52.372022033464596
80264,20230111150,2023,Letsel,2,bromfiets,fiets,Flank,Rechte weg,Buiten,80.0,Niet brandend,ZOAB,Droog,Schemer,Droog,FIETSPAD,amsterdam,POINT (129242.21020000055 480034.5194000006),POINT (5.009523824296314 52.3076726088617),5.009523824296314,52.3076726088617
80265,20230111720,2023,Uitsluitend materiele schade,1,fiets,unknown,Voetganger,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Linnaeusstraat,amsterdam,POINT (123612 485705.5),POINT (4.92644324215843 52.3583475910433),4.92644324215843,52.3583475910433
80276,20230111229,2023,Letsel,2,personenauto,fiets,Los voorwerp,"Kruispunt, 3 takken",Binnen,30.0,Brandend,Overig asfalt,Nat,Schemer,Droog,Klaprozenweg,amsterdam,POINT (122127.76159999892 490332.75090000033),POINT (4.9042033410651555 52.39984723933205),4.9042033410651555,52.39984723933205
80322,20230111515,2023,Letsel,2,bromfiets,voetganger,Voetganger,Rechte weg,Binnen,50.0,Brandend,Klinkers,Nat,Duisternis,Sneeuw/Hagel,Leidsestraat,amsterdam,POINT (120681.52899999917 486411.2410000004),POINT (4.883354818595786 52.36451505302032),4.883354818595786,52.36451505302032
80393,20230020353,2023,Uitsluitend materiele schade,2,personenauto,fiets,Los voorwerp,Rechte weg,Buiten,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Hollandia Kattenburgpad,amsterdam,POINT (122865.56129999831 488354.2190000005),POINT (4.9152330238351505 52.38210932112566),4.9152330238351505,52.38210932112566
80394,20230020895,2023,Uitsluitend materiele schade,2,personenauto,e-bike,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,FIETSPAD,amsterdam,POINT (117368.62889999896 485674.63259999827),POINT (4.834800699565743 52.35767798947806),4.834800699565743,52.35767798947806
80421,20230020386,2023,Uitsluitend materiele schade,2,bromfiets,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,Regen,KINKERBRUG 0266,amsterdam,POINT (119106.8526000008 486416.72040000185),POINT (4.8602364086864664 52.36446365402298),4.8602364086864664,52.36446365402298
80426,20230024368,2023,Uitsluitend materiele schade,2,bromfiets,fiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Parnassusweg,amsterdam,POINT (119615.50899999961 484141.7410000004),POINT (4.867943268457836 52.34405074518056),4.867943268457836,52.34405074518056
80498,20230079116,2023,Letsel,2,bus,fiets,Onbekend,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Marnixstraat,amsterdam,POINT (120529.14299999923 486397.2989999987),POINT (4.881119063696781 52.36438020993506),4.881119063696781,52.36438020993506
80528,20230078501,2023,Letsel,2,bestelauto,fiets,Eenzijdig,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Van Baerlestraat,amsterdam,POINT (120298.58300000057 485812.9840000011),POINT (4.877794510159079 52.35911428162569),4.877794510159079,52.35911428162569
80618,20230022848,2023,Uitsluitend materiele schade,2,bromfiets,fiets,Frontaal,Rechte weg,Binnen,50.0,Brandend,Klinkers,Droog,Duisternis,Droog,Bos en Lommerweg,amsterdam,POINT (118836.70800000057 488523.7470000014),POINT (4.856043698788953 52.383382301766716),4.856043698788953,52.383382301766716
80619,20230022856,2023,Uitsluitend materiele schade,1,snorfiets,unknown,Voetganger,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,0079 BRUG,amsterdam,POINT (120876.86840000004 485641.6537999995),POINT (4.886300690288152 52.357610708604945),4.886300690288152,52.357610708604945
80703,20230022935,2023,Uitsluitend materiele schade,2,bromfiets,voetganger,Voetganger,"Kruispunt, 4 takken",Binnen,15.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Oudezijds Achterburgwal,amsterdam,POINT (121827.82930000126 487517.1770000011),POINT (4.900074595648249 52.374524861073084),4.900074595648249,52.374524861073084
80754,20230020245,2023,Uitsluitend materiele schade,2,bromfiets,e-bike,Flank,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Nat,Daglicht,Harde windstoten/Regen,0137 BRUG,amsterdam,POINT (120881 485308),POINT (4.886395178155366 52.35461231387614),4.886395178155366,52.35461231387614
80783,20230078315,2023,Uitsluitend materiele schade,2,bromfiets,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Droog,FIETSPAD,amsterdam,POINT (123526.75609999895 486661.64189999923),POINT (4.925102455634852 52.366935889723194),4.925102455634852,52.366935889723194
80898,20230087041,2023,Letsel,2,personenauto,bromfiets,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Lemelerbergweg,amsterdam,POINT (124383.69409999996 479646.5256000012),POINT (4.938321723917229 52.30393663516226),4.938321723917229,52.30393663516226
80941,20230088337,2023,Uitsluitend materiele schade,2,trein/tram,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,ZOAB,Nat,Duisternis,Droog,Nassaukade,amsterdam,POINT (120367 486331),POINT (4.878745473182929 52.36377416193088),4.878745473182929,52.36377416193088
80991,20230087827,2023,Uitsluitend materiele schade,2,personenauto,fiets,Onbekend,Rechte weg,Binnen,30.0,Brandend,Klinkers,Nat,Duisternis,Regen,Elandsgracht,amsterdam,POINT (120562.99500000104 487003.6400000006),POINT (4.881553937181042 52.36983169474648),4.881553937181042,52.36983169474648
81052,20230102913,2023,Letsel,2,bromfiets,personenauto,Onbekend,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Cornelis Schuytstraat,amsterdam,POINT (119797 485459),POINT (4.8704687053698414 52.35590101080339),4.8704687053698414,52.35590101080339
81075,20230087401,2023,Uitsluitend materiele schade,2,personenauto,fiets,Onbekend,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Zeeburgerdijk,amsterdam,POINT (124942.96660000086 486566.25620000064),POINT (4.9459037053977 52.366157950539545),4.9459037053977,52.366157950539545
81088,20230086882,2023,Letsel,2,motor,fiets,Frontaal,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,De Clercqstraat,amsterdam,POINT (120055.81700000167 487219.61199999973),POINT (4.874084700465917 52.37174065686559),4.874084700465917,52.37174065686559
81157,20210080820,2021,Uitsluitend materiele schade,2,bromfiets,personenauto,Kop/staart,Rechte weg,Buiten,50.0,Brandend,Beton,Droog,Duisternis,Droog,Amstelveenseweg,amsterdam,POINT (118890.11899999902 482953.6959999986),POINT (4.857426151185545 52.33332623282584),4.857426151185545,52.33332623282584
81191,20210089778,2021,Uitsluitend materiele schade,1,fiets,unknown,Voetganger,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Sarphatipark,amsterdam,POINT (121732.28400000185 485295.30099999905),POINT (4.898891399192283 52.35455038801594),4.898891399192283,52.35455038801594
81195,20210075852,2021,Letsel,2,brommobiel,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,Droog,Kamerlingh Onneslaan,amsterdam,POINT (123512 484787),POINT (4.925061300181922 52.350086979921336),4.925061300181922,52.350086979921336
81240,20210079454,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Gulden Winckelplantsoen,amsterdam,POINT (118233.39680000022 487958.4365000017),POINT (4.8472446014193 52.37826165467652),4.8472446014193,52.37826165467652
81258,20210087285,2021,Uitsluitend materiele schade,2,fiets,fiets,Frontaal,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Unknown,Weesperzijde,amsterdam,POINT (122428.58399999887 485235.1649999991),POINT (4.909117362955078 52.354051644196744),4.909117362955078,52.354051644196744
81266,20210086199,2021,Uitsluitend materiele schade,2,fiets,personenauto,Flank,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Goudsbloemstraat,amsterdam,POINT (120684.35799999908 488196.1000000015),POINT (4.883214121629052 52.38055625799206),4.883214121629052,52.38055625799206
81303,20210089319,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,mt. Lincolnweg,amsterdam,POINT (121163.21200000122 490843.1970000006),POINT (4.889979979172417 52.404376105313624),4.889979979172417,52.404376105313624
81312,20210023481,2021,Uitsluitend materiele schade,2,personenauto,fiets,Onbekend,Unknown,Unknown,30.0,Unknown,Unknown,Unknown,Daglicht,Unknown,Jodenbreestraat,amsterdam,POINT (121934.8350000009 486943.24500000104),POINT (4.901702367901421 52.369373214864645),4.901702367901421,52.369373214864645
81444,20210028972,2021,Uitsluitend materiele schade,2,bromfiets,fiets,Onbekend,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Hobbemastraat,amsterdam,POINT (120667.34109999985 485940.9365000017),POINT (4.883194540971921 52.3602873993779),4.883194540971921,52.3602873993779
81514,20210033439,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Onbekend,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Parnassusweg,amsterdam,POINT (119615.50899999961 484141.7410000004),POINT (4.867943268457836 52.34405074518056),4.867943268457836,52.34405074518056
81653,20210020075,2021,Uitsluitend materiele schade,2,bromfiets,personenauto,Frontaal,Bocht,Buiten,Unknown,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Driemondweg,amsterdam,POINT (128906.58999999985 479752.2320000008),POINT (5.004624648778322 52.305119732330475),5.004624648778322,52.305119732330475
81766,20210059935,2021,Letsel,1,bromfiets,unknown,Eenzijdig,Bocht,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Albert Hahnplantsoen,amsterdam,POINT (119688.4290000014 484930.4389999993),POINT (4.868930559407166 52.35114370792825),4.868930559407166,52.35114370792825
81770,20210034070,2021,Uitsluitend materiele schade,2,snorfiets,fiets,Onbekend,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Unknown,Piet Heinkade,amsterdam,POINT (123081.87959999964 487761.9228999987),POINT (4.918466340607362 52.37679879405618),4.918466340607362,52.37679879405618
81814,20210044103,2021,Uitsluitend materiele schade,2,fiets,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Barajasweg,amsterdam,POINT (117331.86710000038 488818.71489999816),POINT (4.833908724868041 52.38593204120485),4.833908724868041,52.38593204120485
81847,20210039195,2021,Uitsluitend materiele schade,2,snorfiets,bromfiets,Frontaal,Bocht,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Vliegtuigstraat,amsterdam,POINT (117988.07299999893 483718.77899999917),POINT (4.8441084520848054 52.34014227344206),4.8441084520848054,52.34014227344206
81972,20210060661,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,Droog,Mauritskade,amsterdam,POINT (122856 486067),POINT (4.9153113263362505 52.36155280085652),4.9153113263362505,52.36155280085652
81980,20210088650,2021,Letsel,2,fiets,fiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Frans de Wollantstraat,amsterdam,POINT (124034.18100000173 487098.40300000086),POINT (4.932512199245898 52.37089005228649),4.932512199245898,52.37089005228649
82067,20210035272,2021,Letsel,1,fiets,unknown,Eenzijdig,Unknown,Unknown,30.0,Unknown,Unknown,Unknown,Duisternis,Unknown,Elandsgracht,amsterdam,POINT (120261.69000000134 486858.9539999999),POINT (4.87714489119339 52.36851238497796),4.87714489119339,52.36851238497796
82090,20210035032,2021,Uitsluitend materiele schade,3,bromfiets,overig wegmeubilair,Vast voorwerp,"Kruispunt, 4 takken",Binnen,30.0,Brandend,Beton,Droog,Duisternis,Droog,Valkenburgerstraat,amsterdam,POINT (122404.85049999878 487022.96550000086),POINT (4.908595730079465 52.370117784639405),4.908595730079465,52.370117784639405
82105,20210052325,2021,Letsel,2,bromfiets,los voorwerp,Los voorwerp,Rechte weg,Binnen,50.0,Brandend,ZOAB,Droog,Duisternis,Droog,Marathonweg,amsterdam,POINT (119361.18299999833 484486.15300000086),POINT (4.864174760454915 52.34712964845257),4.864174760454915,52.34712964845257
82156,20210065112,2021,Uitsluitend materiele schade,3,personenauto,fiets,Los voorwerp,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Regen,De Clercqstraat,amsterdam,POINT (119927.43600000069 487184.43299999833),POINT (4.872203300310077 52.371416309417896),4.872203300310077,52.371416309417896
82159,20210065482,2021,Uitsluitend materiele schade,2,snorfiets,personenauto,Kop/staart,"Kruispunt, 3 takken",Binnen,50.0,Brandend,Klinkers,Droog,Schemer,Unknown,Postjesweg,amsterdam,POINT (119055.64950000122 486461.99069999903),POINT (4.859479857710605 52.364867161912066),4.859479857710605,52.364867161912066
82168,20210037614,2021,Uitsluitend materiele schade,2,snorfiets,personenauto,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Nisserstraat,amsterdam,POINT (113685.72769999877 484883.39829999954),POINT (4.7808380963699495 52.350302392635435),4.7808380963699495,52.350302392635435
82193,20210037044,2021,Uitsluitend materiele schade,1,bromfiets,unknown,Onbekend,Unknown,Unknown,50.0,Unknown,Unknown,Unknown,Duisternis,Unknown,Prins Hendrikkade,amsterdam,POINT (121667.89999999851 487858.86199999973),POINT (4.89769224200283 52.37758599855516),4.89769224200283,52.37758599855516
82198,20210042649,2021,Letsel,2,personenauto,fiets,Frontaal,Rotonde,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Bijlmerdreef,amsterdam,POINT (126450.73160000145 481509.6171000004),POINT (4.9684691332945405 52.32079224950861),4.9684691332945405,52.32079224950861
82208,20210064799,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Bilderdijkstraat,amsterdam,POINT (119801.27290000021 487126.9803000018),POINT (4.87035682606685 52.37089189452103),4.87035682606685,52.37089189452103
82253,20210040887,2021,Uitsluitend materiele schade,2,bromfiets,voetganger,Voetganger,"Kruispunt, 4 takken",Binnen,Unknown,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Ceintuurbaan,amsterdam,POINT (121892.76089999825 485313.4937000014),POINT (4.901245052327899 52.35472358513887),4.901245052327899,52.35472358513887
82286,20210036538,2021,Uitsluitend materiele schade,2,bestelauto,bromfiets,Kop/staart,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,Droog,Sarphatistraat,amsterdam,POINT (122923.94729999825 486223.4353),POINT (4.916293879613899 52.36296270901687),4.916293879613899,52.36296270901687
82565,20210091235,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Eenzijdig,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Waddenweg,amsterdam,POINT (123801.65529999882 489799.2104000002),POINT (4.92884714615974 52.39514988555466),4.92884714615974,52.39514988555466
82828,20220081384,2022,Letsel,2,bromfiets,personenauto,Eenzijdig,"Kruispunt, 4 takken",Buiten,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Unknown,De Boelelaan,amsterdam,POINT (120732.28909999877 483100.89350000024),POINT (4.884437135147512 52.334767060502635),4.884437135147512,52.334767060502635
82867,20220081440,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Hensbroekerstraat,amsterdam,POINT (124844.77710000053 489429.8169),POINT (4.944205126131421 52.39188834155123),4.944205126131421,52.39188834155123
82902,20220080689,2022,Uitsluitend materiele schade,2,bromfiets,motor,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Schemer,Droog,Kamerlingh Onneslaan,amsterdam,POINT (123888.46400000155 485191.75499999896),POINT (4.930548991405342 52.35374610504436),4.930548991405342,52.35374610504436
82961,20220080948,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Mosplein,amsterdam,POINT (122617.63219999894 489342.6658000015),POINT (4.911496410151092 52.39097820672522),4.911496410151092,52.39097820672522
82980,20220035802,2022,Uitsluitend materiele schade,2,bromfiets,personenauto,Flank,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Schemer,Droog,De Boelelaan,amsterdam,POINT (121099.3033999987 483104.28009999916),POINT (4.889821338171321 52.334820251917236),4.889821338171321,52.334820251917236
83015,20220055210,2022,Letsel,3,personenauto,bromfiets,Flank,Bocht,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Barbara Strozzilaan,amsterdam,POINT (120967.06399999931 483316.1700000018),POINT (4.887859809801501 52.336716410377335),4.887859809801501,52.336716410377335
83026,20220081086,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Cornelis Schuytstraat,amsterdam,POINT (119926.45059999824 485214.2307000011),POINT (4.872394321891253 52.35370947493507),4.872394321891253,52.35370947493507
83085,20220055608,2022,Uitsluitend materiele schade,2,fiets,unknown,Onbekend,Rechte weg,Binnen,30.0,Niet brandend,Unknown,Droog,Daglicht,Droog,Elzenhagenpad,amsterdam,POINT (123515.65500000119 490280.8999999985),POINT (4.924600262967538 52.39946263121189),4.924600262967538,52.39946263121189
83111,20220054370,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet aanwezig,Overig asfalt,Droog,Daglicht,Droog,Meer en Vaart,amsterdam,POINT (115630.57349999994 485570.7496000007),POINT (4.8093005748588515 52.356622563595465),4.8093005748588515,52.356622563595465
83169,20220054670,2022,Uitsluitend materiele schade,2,personenauto,fiets,Frontaal,Rechte weg,Binnen,30.0,Brandend,Klinkers,Droog,Duisternis,Droog,Naaldwijkstraat,amsterdam,POINT (117856.98800000176 484561.243999999),POINT (4.842092090593912 52.34770490306624),4.842092090593912,52.34770490306624
