,Unnamed: 0,accident_id,accident_year,outcome,num_parties,party1_type,party2_type,accident_nature,road_situation,built_up_area,speed_limit_kmh,street_lighting,road_surface,road_condition,light_condition,weather_condition,street_name,municipality,shape,geometry,longitude,latitude,cluster,future_hotspot_spatial,outcome_encoded,future_hotspot_pred
3446,216183,20220055273,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Unknown,Molukkenstraat,amsterdam,POINT (124514.25930000097 486567.57360000163),POINT (4.939609442197178 52.36614616340264),4.939609442197178,52.36614616340264,1,1,2,1
3447,216207,20220055400,2022,Uitsluitend materiele schade,3,snorfiets,personenauto,Los voorwerp,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Duisternis,Droog,De Clercqstraat,amsterdam,POINT (119489.2340000011 487024.5560000017),POINT (4.8657859425105165 52.369951291405314),4.8657859425105165,52.369951291405314,1,1,2,1
3448,216217,20220081045,2022,Uitsluitend materiele schade,2,personenauto,fiets,Flank,Rotonde,Buiten,80.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Dammerweg,amsterdam,POINT (133783.51099999994 478126.36499999836),POINT (5.076230751013394 52.29071674850506),5.076230751013394,52.29071674850506,-1,0,2,0
3449,216234,20220036008,2022,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,Regen,Burg Van de Pollstraat,amsterdam,POINT (117268.53049999848 487678.0003999993),POINT (4.833106550310865 52.375675854944994),4.833106550310865,52.375675854944994,1,1,2,1
3450,216443,20220055824,2022,Letsel,2,personenauto,e-bike,Frontaal,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Zacharias Jansestraat,amsterdam,POINT (123846.96519999951 485235.8484000005),POINT (4.929935807567807 52.35414003716326),4.929935807567807,52.35414003716326,1,1,1,1
3451,216444,20220055847,2022,Uitsluitend materiele schade,2,personenauto,fiets,Onbekend,Rotonde,Binnen,50.0,Niet aanwezig,ZOAB,Droog,Daglicht,Droog,Burgemeester Röellstraat,amsterdam,POINT (116268.19049999863 487713.7373000011),POINT (4.818412827771764 52.37592737654816),4.818412827771764,52.37592737654816,1,1,2,1
3452,216456,20220103199,2022,Uitsluitend materiele schade,2,personenauto,e-bike,Flank,"Kruispunt, 4 takken",Binnen,50.0,Unknown,Unknown,Droog,Daglicht,Droog,Nassaukade,amsterdam,POINT (120278.00609999895 487901.5236000009),POINT (4.877276741598292 52.377883273766884),4.877276741598292,52.37788327376688,1,1,2,1
3453,216488,20220102675,2022,Letsel,2,bromfiets,voetganger,Voetganger,Rechte weg,Binnen,15.0,Niet brandend,Klinkers,Droog,Daglicht,Droog,Hoekenrode,amsterdam,POINT (125119.92500000075 480619.33999999985),POINT (4.949029507723901 52.312720240253675),4.949029507723901,52.31272024025368,0,1,1,1
3454,216853,20230004165,2023,Uitsluitend materiele schade,2,personenauto,fiets,Geparkeerd voertuig,Rechte weg,Binnen,30.0,Brandend,Klinkers,Droog,Duisternis,Droog,Voorburgstraat,amsterdam,POINT (117903.91000000015 484655.5529999994),POINT (4.842770293719369 52.34855565369936),4.842770293719369,52.34855565369936,1,1,2,1
3455,217221,20230004263,2023,Letsel,2,personenauto,bromfiets,Flank,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Daniël Goedkoopstraat,amsterdam,POINT (123344.01979999989 483056.7036000006),POINT (4.9227586738450695 52.334526502065685),4.9227586738450695,52.334526502065685,1,1,1,1
